Temperature (C),Humidity (%),Soil Moisture,Cluster,Predicted_Yield,Action_Recommendation
25.8,37.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,37.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,38.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,38.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,38.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,38.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,39.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,39.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,39.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,39.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
21.8,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
22.2,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
23.0,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
23.4,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
24.1,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
24.5,34.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
24.8,34.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.3,33.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
25.8,33.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
26.2,33.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
26.7,33.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
26.7,32.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
27.1,32.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
27.1,32.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
27.6,32.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
27.6,31.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
27.6,31.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.0,30.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.0,30.0,1022,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.0,30.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.0,29.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.5,51.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.5,52.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.0,48.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.5,64.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.5,64.0,763,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
28.9,61.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.9,62.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
28.9,62.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
29.3,62.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
29.3,62.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
29.8,61.0,794,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.8,60.0,806,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.8,60.0,746,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.8,60.0,747,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,60.0,749,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,61.0,756,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,60.0,759,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,60.0,758,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,60.0,759,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,60.0,761,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,61.0,760,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
29.3,61.0,813,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
24.8,49.0,1023,2,31746.311355468275,Soil is dry. Balance water & nutrients for better yield.
24.8,49.0,793,2,31746.311355468275,Soil moisture sufficient. Improve nutrient delivery for yield boost.
